_id,mmsi,shipCallSigns,shipName,shipSize,shipType,shipWidth
64bfbb79031fca34f8146b88,636020774,5LAQ7,GSL MELITA,277,"Cargo ship, Category Y",40
64bfbca2031fca34f814900a,413467580,BQHG4,DONG FANG YOU 11,151,"Tanker, General",22
64bfbcbd031fca34f81493a8,994121785,,XINGANGFANGBODIWEST ,4,,4
64bfbe15031fca34f814bc74,413259730,@@@@@@@,XINTENGYUAN,129,"Cargo ship, General",28
64bfbecf031fca34f814d23c,370737000,3EUF9,SUN EXCELSIOR,224,"Cargo ship, General",32
64bfbf80031fca34f814e827,232004359,MAFM8,OPTIMANA,213,Not specified 9,32
64bfbf84031fca34f814e89d,413802000,BKTU6,TIANXUANXING,161,"Cargo ship, General",26
64bfbfb5031fca34f814eecd,352001771,3E2605,DS EXPRESS 178,126,"Cargo ship, General",20
64bfc011031fca34f814fa01,256441000,9HA5839,CNC PUMA,183,"Cargo ship, Category X",36
64bfc063031fca34f81504a8,412350000,BOFM,PO YANG HU,228,"Tanker, General",32
64bfc0a9031fca34f8150dbb,356471000,3EBD8,NO2.HEUNG-A PIONEER,124,"Tanker, Category Y",20
64bfc0b3031fca34f8150eed,248966000,9HA4890,CNC VENUS,172,"Cargo ship, General",28
64bfc0b6031fca34f8150f65,999413031,,DONG HAI DAO DENG CH,60,,60
64bfc155031fca34f81523c0,994131760,,ZHAN JIANG GANG 36,6,,6
64bfc1e4031fca34f8153623,477883400,VRCY4,JIN YI,190,"Cargo ship, General",32
64bfc31e031fca34f8155d45,412331470,BSVM,JIAO GONG 69,61,Tug,12
64bfc334031fca34f815602d,413278830,@@@@@@@,CHEN  CHANG  001,130,"Cargo ship, General",24
64bfc399031fca34f8156d51,413264410,BONL3,DE HAI 26,115,"Cargo ship, General",18
64bfc3d5031fca34f81574ba,371623000,3EDH3,NAVIOS HELIOS,225,"Cargo ship, No additional information",32
64bfc477031fca34f81589e9,563152500,9V7466,KOTA GAYA,223,"Cargo ship, General",30
64bfc850031fca34f81607ea,414113000,BFHH,TIAN ZUO,225,"Cargo ship, General",32
64bfc8c7031fca34f8161887,351752000,3ENR2,HTK DISCOVERY,177,"Cargo ship, General",28
64bfc8f5031fca34f8161ef8,994131747,,ZHAN JIANG GANG 7,6,,6
64bfc926031fca34f81624e1,413630190,BRVZ,ZHONG WEI 1,180,"Cargo ship, General",26
64bfca63031fca34f8164d83,414509000,BOOO5,HUA DIAN ZHONG JI 01,137,"Other types of ship, General",81
64bfcafe031fca34f816617d,457446000,JVAS8,BULAN,153,"Cargo ship, General",26
